char,cj,wubi98,wubi86,sijiao,zhengma,terra,bopomofo,flypy,ms,zrm,sogou,abc,ziguang,moqi_aux,xh_aux,zrm_aux,lvl
㐩,廿廿廿廿,fjfj,fjfj,55000,,xing2,ㄒㄧㄥˊ,xk,x;,xy,x;,xy,x;,jj,,jj,
㐫,卜山大,yrbj,ybk,00772,,xiong1,ㄒㄩㄥ,xs,xs,xs,xs,xs,xh,wx,,wx,
㐬,重卜戈竹山|卜戈竹中山|卜戈竹中女|卜戈竹山|卜戈竹女,yckb,ycqb,00212,,liu2,ㄌㄧㄡˊ,lq,lq,lq,lq,lr,lj,si,,wi,
㐭,重卜田口|卜田口,ylkf,ylkf,00600,,lin3,ㄌㄧㄣˇ,lb,ln,ln,ln,lc,ly,wk,,wh,
㐮,卜金廿廿女,uaeu,ufje,00732,,xiang1,ㄒㄧㄤ,xl,xd,xd,xd,xt,xg,,,,
㐯,卜口口日,ykt|yktj,yktj,00609,,yong1,ㄩㄥ,ys,ys,ys,ys,ys,yh,,,,
㐰,人口,wkg,wkg,26200,,xin4,ㄒㄧㄣˋ,xb,xn,xn,xn,xc,xy,rk,,rk,
㐱,人竹竹竹,wer,wer,80202,,zhen3,ㄓㄣˇ,vf,vf,vf,vf,af,uw,rp,,rp,
㐲,人大|重重人大,wdy,wdy,24280,,dai4,ㄉㄞˋ,dd,dl,dl,dl,dl,dp,rd,,rd,
㐳,人一山|重人一山,wgqn,wgqn,21212,,wu4,ㄨˋ,wu,wu,wu,wu,wu,wu,rw,,rw,
㐴,人弓戈,wqy,wqy,27220,,pan1,ㄆㄢ,pj,pj,pj,pj,pj,pr,,,,
㐵,人一木|重人一木,wgfh,wgfh,21240,,ru2,ㄖㄨˊ,ru,ru,ru,ru,ru,ru,ry,,ry,
㐷,人弓女一,wcgg,wcg,27227,,ma3,ㄇㄚˇ,ma,ma,ma,ma,ma,ma,rm,,rm,
㐸,人弓人,wqw|wqwy,wqwy,27282,,qian4|ci4,ㄑㄧㄢˋ|ㄘˋ,qm|ci,qm|ci,qm|ci,qm|ci,qw|ci,qf|ci,rq,,rq,
㐹,人人一弓|重人人一弓,wrn,wrnn,28217,,yi4,ㄧˋ,yi,yi,yi,yi,yi,yi,rq,,rq,
㐺,人人人|重人人人,wwwy,wwwy,28220,,yin2|zhong4,ㄧㄣˊ|ㄓㄨㄥˋ,yb|vs,yn|vs,yn|vs,yn|vs,yc|as,yy|uh,rr,,rr,
㐻,人人月,wmwy,wmwy,24227,,nei4,ㄋㄟˋ,nw,nz,nz,nz,nq,nk,rn,,rn,
㐼,人竹廿,wtah,wtah,24200,,cheng4,ㄔㄥˋ,ig,ig,ig,ig,eg,at,rc,,ru,
㐽,人竹弓大,wwr|wwry,wmqy,27210,,feng1,ㄈㄥ,fg,fg,fg,fg,fg,ft,,,,
㑁,人山山,wbm|wbmh,wbmh,22272,,zhuo1,ㄓㄨㄛ,vo,vo,vo,vo,ao,uo,,,,
㑂,人一人月|重人一人月,wgmw,wgmw,21227,,fang3,ㄈㄤˇ,fh,fh,fh,fh,fh,fs,rn,,rb,
㑃,人女戈尸,wxet,wxln,24227,,ao3,ㄠˇ,ao,ok,ao,ok,ok,oq,rl,,ry,
㑄,人田卜戈|重人田卜戈,wxy,wxgu,27250,,wu3,ㄨˇ,wu,wu,wu,wu,wu,wu,rm,,rm,
㑅,人人卜一,wthg,wthg,28211,,zuo4,ㄗㄨㄛˋ,zo,zo,zo,zo,zo,zo,ru,,ra|ru,
㑇,人弓尸一,wqv|wqvg,wqvg,27277,,zhou4,ㄓㄡˋ,vz,vb,vb,vb,ab,uz,re,re,ri,3.0
㑈,人大木,wai|waiy,waiy,24294,,dong4,ㄉㄨㄥˋ,ds,ds,ds,ds,ds,dh,rd,,rd,
㑉,人竹弓弓,wwgq,wmgq,27210,,su4,ㄙㄨˋ,su,su,su,su,su,su,rd,,rs,
㑊,人卜中金,wyoy,wyoy,20230,,yi4,ㄧˋ,yi,yi,yi,yi,yi,yi,rb,rd,ry,3.0
㑋,人廿田,wmag,wmag,25260,,qiong2,ㄑㄩㄥˊ,qs,qs,qs,qs,qs,qh,rq,,rq,
㑌,人尸一土,wagg,wagg,21211,,kuang1|wang1,ㄎㄨㄤ|ㄨㄤ,kl|wh,kd|wh,kd|wh,kd|wh,kt|wh,kg|ws,rw,,rk,
㑍,人手木,wfs|wfsy,wdiy,25290,,lei4,ㄌㄟˋ,lw,lz,lz,lz,lq,lk,rl,,rl,
㑎,人女女山,wvmh,wvmh,22272,,nao3,ㄋㄠˇ,nc,nk,nk,nk,nk,nq,ru,,ru,
㑏,人十木戈,wpfy,wpfy,23242,,zhu4,ㄓㄨˋ,vu,vu,vu,vu,au,uu,rc,,ru,
㑐,人卜一火,whiy,whiy,21291,,shu1,ㄕㄨ,uu,uu,uu,uu,vu,iu,,,,
㑔,人一月人,wdmy,wdmy,21282,,xu3,ㄒㄩˇ,xu,xu,xu,xu,xu,xu,ry,,ry,
㑗,人竹難竹,wtm|wtmt,wtmt,27240,,shen1,ㄕㄣ,uf,uf,uf,uf,vf,iw,ru,,ru,
㑘,人戈廿,waa|waah,waah,23250,,jie4,ㄐㄧㄝˋ,jp,jx,jx,jx,jx,jd,rc,,rj,
㑙,人尸十山,wbnn,wbnn,21212,,die2,ㄉㄧㄝˊ,dp,dx,dx,dx,dx,dd,rv,,rv,
㑚,人尸手中,wngb,wvfb,27227,,nuo2,ㄋㄨㄛˊ,no,no,no,no,no,no,re,,rn,
㑛,人木中,wskg,wgki,25296,,su4,ㄙㄨˋ,su,su,su,su,su,su,ru,,ru,
㑜,人手竹中,wrrh,wrrh,22221,,yi4|chi4,ㄧˋ|ㄔˋ,yi|ii,yi|ii,yi|ii,yi|ii,yi|ei,yi|ai,rj,,rv,
㑝,人一土廿,wga|wgah,wgah,21241,,long4,ㄌㄨㄥˋ,ls,ls,ls,ls,ls,lh,rc,,rn,
㑞,人火廿,woa|woah,woah,29248,,ying4,ㄧㄥˋ,yk,y;,yy,y;,yy,y;,rc,,rv,
㑟,人人一金,wrw|wrwy,wrgw,22281,,beng3,ㄅㄥˇ,bg,bg,bg,bg,bg,bt,rb,,rb,
㑣,人木木,wssy,wssy,24290,,lan2,ㄌㄢˊ,lj,lj,lj,lj,lj,lr,rm,,rl,
㑤,人廿田|重人廿田,wal|walg,walg,24260,,miao2,ㄇㄧㄠˊ,mn,mc,mc,mc,mz,mb,rt,,rm,
㑥,人日心竹,wjqr,wjqr,26227,,yi4,ㄧˋ,yi,yi,yi,yi,yi,yi,rw,,ry,
㑦,人竹尸大|人戈尸大|重人竹尸大,wynd,wynd,23284,,li4,ㄌㄧˋ,li,li,li,li,li,li,rq,,rl,
㑧,人竹木木,wtb|wtbg,wtbg,22247,,ji4,ㄐㄧˋ,ji,ji,ji,ji,ji,ji,rz,,rj,
㑨,人口人大,wkt|wktd,wktd,26284,,yu3,ㄩˇ,yu,yu,yu,yu,yu,yu,ru,,ru,
㑩,人田中弓,wlqy,wlqy,26227,,luo2,ㄌㄨㄛˊ,lo,lo,lo,lo,lo,lo,rx,,rl,
㑪,人卜大中|重人卜大中,wyjg,wyjg,20224,,chai2,ㄔㄞˊ,id,il,il,il,el,ap,ro,,rj,
㑮,人月十十,wpl|wplh,wplh,27252,,hun2,ㄏㄨㄣˊ,hy,hp,hp,hp,hn,hm,ri,,rj,
㑯,人一月金,wdmy,wdmy,21286,,xu3,ㄒㄩˇ,xu,xu,xu,xu,xu,xu,ry,,ry,
㑰,人女弓人|重重人女弓,wxey,wxey,27232,,hui4,ㄏㄨㄟˋ,hv,hv,hv,hv,hm,hn,ru,,rh,
㑱,人弓竹木,wcns,wcbs,27294,,rao3,ㄖㄠˇ,rc,rk,rk,rk,rk,rq,rm,,rr,
㑳,人心山山,wqbt,wqbt,27227,,zhou4|zhu1,ㄓㄡˋ|ㄓㄨ,vz|vu,vb|vu,vb|vu,vb|vu,ab|au,uz|uu,rc,,ri,
㑵,人大人大,wut|wutd,wutd,20284,,han4,ㄏㄢˋ,hj,hj,hj,hj,hj,hr,ru,,rj,
㑶,人人弓木,wroy,wrno,28217,,xi4,ㄒㄧˋ,xi,xi,xi,xi,xi,xi,rm,,rq,
㑷,人戈月心,wcex,wcex,22212,,tai4,ㄊㄞˋ,td,tl,tl,tl,tl,tp,rb,,rn,
㑸,人十口口|重人十口口,wdsk,wdsk,24221,,yao2,ㄧㄠˊ,yc,yk,yk,yk,yk,yq,rk,,rk,
㑹,人一田日|重人一田日,wgmj,wgmj,80606,,hui4,ㄏㄨㄟˋ,hv,hv,hv,hv,hm,hn,ro,,ro,
㑺,人人土尸|重人人土尸,wwyb,wwye,20227,,jun4,ㄐㄩㄣˋ,jy,jp,jp,jp,jn,jm,rn,,rj,
㑻,人十心山|重人十心山,wpnm,wpnm,23272,,ma4,ㄇㄚˋ,ma,ma,ma,ma,ma,ma,ru,,rm,
㑼,人田竹口,wlt|wltk,wltk,27264,,lve4,ㄌㄩㄝˋ,lt,lt,lt,lt,lm,ln,,,,
㑽,人火月土,wipf,wipf,29214,,tang2,ㄊㄤˊ,th,th,th,th,th,ts,rt,,rt,
㑾,人月卜口,wqyg,wqyg,27261,,yao2,ㄧㄠˊ,yc,yk,yk,yk,yk,yq,rk,,ry,
㑿,人女女木,wvjs,wvjs,22294,,zhao4,ㄓㄠˋ,vc,vk,vk,vk,ak,uq,rg,,ri,
㒀,人卜金月,wyud,wumd,20227,,zhai1|zha3,ㄓㄞ|ㄓㄚˇ,vd|va,vl|va,vl|va,vl|va,al|aa,up|ua,rg,,rd,
㒁,人田土十,wlf|wlff,wlff,26200,,yu3,ㄩˇ,yu,yu,yu,yu,yu,yu,rg,,ry,
㒂,人廿十日,wafj,wafj,24264,,zhuo2,ㄓㄨㄛˊ,vo,vo,vo,vo,ao,uo,ro,,rv,
㒃,人戈心金,wafy,wafm,23240,,er4,ㄦˋ,er,or,er,or,or,oj,rb,,re,
㒄,人月大火,wqdo,wqdo,23238,,ran3,ㄖㄢˇ,rj,rj,rj,rj,rj,rr,rh,,rr,
㒅,人卜弓女,wyq|wyqe,wyqe,20232,,qi3,ㄑㄧˇ,qi,qi,qi,qi,qi,qi,rx,,ri,
㒆,人人口一,wwgn,wwgn,28227,,chi4,ㄔˋ,ii,ii,ii,ii,ei,ai,rx,,rh,
㒇,人人廿火,wtgo,wrlo,28231,,wu3,ㄨˇ,wu,wu,wu,wu,wu,wu,rh,,rw,
㒈,人一十大|人弓十大,wnbt,wnbt,28240,,han4,ㄏㄢˋ,hj,hj,hj,hj,hj,hr,rw,,rg,
㒉,人火月木,wips,wips,29294,,tang3,ㄊㄤˇ,th,th,th,th,th,ts,rm,,rt,
㒊,人尸竹一|人尸戈一,wvyh,wvyh,27211,,se4,ㄙㄜˋ,se,se,se,se,se,se,rv,,rs,
㒋,人廿金中,wdwr,wadr,22221,,si1,ㄙ,si,si,si,si,si,si,,,,
㒌,人火火弓,woow,woom,29212,,qiong2,ㄑㄩㄥˊ,qs,qs,qs,qs,qs,qh,rj,,rq,
㒍,人戈戈火,wcci,wcci,23293,,lei2,ㄌㄟˊ,lw,lz,lz,lz,lq,lk,rx,,rl,
㒎,人竹大卜|人一大卜,wgdd,wgdd,21211,,sa4,ㄙㄚˋ,sa,sa,sa,sa,sa,sa,rf,,rz,
㒑,人尸水土,waiy,waiy,21211,,kui3|hui4,ㄎㄨㄟˇ|ㄏㄨㄟˋ,kv|hv,kv|hv,kv|hv,kv|hv,km|hm,kn|hn,rv,,rh,
㒒,人廿金木,wou|wouf,wogw,22295,,pu2,ㄆㄨˊ,pu,pu,pu,pu,pu,pu,rw,,ry,
㒓,人卜土手,wfup,wfup,24234,,ta4,ㄊㄚˋ,ta,ta,ta,ta,ta,ta,ry,,rd,
㒔,人田中戈,wlq|wlqj,wlqj,26227,,shu2|du2|tu4,ㄕㄨˊ|ㄉㄨˊ|ㄊㄨˋ,uu|du|tu,uu|du|tu,uu|du|tu,uu|du|tu,vu|du|tu,iu|du|tu,ri,,ru,
㒕,人卜女土,wyxy,wyxy,20215,,yang1,ㄧㄤ,yh,yh,yh,yh,yh,ys,,,,
㒖,人廿田月,wajy,wajy,24227,,ou3,ㄡˇ,ou,ob,ou,ob,ob,oz,rd,,rw,
㒗,人廿月土,waff,waff,24214,,tai2,ㄊㄞˊ,td,tl,tl,tl,tl,tp,rt,,rt,
㒙,人女火月,wxr|wxrh,wxrh,26227,,mian2,ㄇㄧㄢˊ,mm,mm,mm,mm,mw,mf,rj,,rm,
㒚,人月一心,wea|wean,wean,22237,,yin4|wen3,ㄧㄣˋ|ㄨㄣˇ,yb|wf,yn|wf,yn|wf,yn|wf,yc|wf,yy|ww,rx,,ry,
㒛,人尸一土,wnwy,wnwy,27215,,diao4,ㄉㄧㄠˋ,dn,dc,dc,dc,dz,db,rv,,rv,
㒜,人竹難金,wegw,wvgw,27281,,yu3,ㄩˇ,yu,yu,yu,yu,yu,yu,rb,,ry,
㒝,人廿田戈|重人廿田戈,walw,walt,24253,,mie4|wa4,ㄇㄧㄝˋ|ㄨㄚˋ,mp|wa,mx|wa,mx|wa,mx|wa,mx|wa,md|wa,rd,,rm,
㒞,人山人尸,wmwn,wmwm,22227,,jun4,ㄐㄩㄣˋ,jy,jp,jp,jp,jn,jm,rk,,rs,
㒟,人卜尸女,wyce,wyce,20232,,niao3,ㄋㄧㄠˇ,nn,nc,nc,nc,nz,nb,rm,,rn,
㒠,人卜水一,whq|whqg,whqg,27211,,xie4,ㄒㄧㄝˋ,xp,xx,xx,xx,xx,xd,rj,,rj,
㒡,人月山火,weti,weri,22293,,you2,ㄧㄡˊ,yz,yb,yb,yb,yb,yz,rx,,ry,
㒤,人尸十十,wbbb,wbbb,21241,,che4,ㄔㄜˋ,ie,ie,ie,ie,ee,ae,re,,rn,
㒥,人山十廿,wmdu,wdhu,22218,,feng1,ㄈㄥ,fg,fg,fg,fg,fg,ft,rb,,rf,
㒦,人田田土,wllf,wllf,26214,,lei3|lei4,ㄌㄟˇ|ㄌㄟˋ,lw,lz,lz,lz,lq,lk,rt,,rl,
㒧,人卜月土,wyry,wyby,20215,,li4,ㄌㄧˋ,li,li,li,li,li,li,rv,,rl,
㒩,人女人戈,wxe|wxej,wxej,27236,,luo3,ㄌㄨㄛˇ,lo,lo,lo,lo,lo,lo,ri,,rl,
㒫,一卜一山|重一卜一山,ghf|ghfq,ghfq,10212,,ji4,ㄐㄧˋ,ji,ji,ji,ji,ji,ji,ee,,iw|ey,
㒰,人一,tya|tyaf,tyaf,80102,,quan2,ㄑㄩㄢˊ,qr,qr,qr,qr,qp,ql,rg,,rg,
㒲,人日,tyj|tyjf,tyjf,80600,,cai2,ㄘㄞˊ,cd,cl,cl,cl,cl,cp,ro,,ro,
㒳,月中人人,mhty,mhty,77220,,liang3,ㄌㄧㄤˇ,ll,ld,ld,ld,lt,lg,kr,,kr,
㒴,人山山|重人山山,tybm,tybm,80772,,gu3,ㄍㄨˇ,gu,gu,gu,gu,gu,gu,ri,,ri,
㒵,竹日金,rwu,rwu,26800,,mao4,ㄇㄠˋ,mc,mk,mk,mk,mk,mq,bb,,bb,
㒷,月人一金,mwgw,mwgw,77802,,gua3,ㄍㄨㄚˇ,gx,gw,gw,gw,gd,gx,kb,,kb|by,
㒸,金一尸人|廿心竹人,ueu,ueu,80232,,sui4,ㄙㄨㄟˋ,sv,sv,sv,sv,sm,sn,bu,,bu,
㒻,日月山山|重日月山山,jhq|jhqb,jhqb,60212,,mao4,ㄇㄠˋ,mc,mk,mk,mk,mk,mq,oj,,mj|oj,
㒼,廿中月人,amhy,amhy,44227,,man2,ㄇㄢˊ,mj,mj,mj,mj,mj,mr,cr,,cr,
㒽,日火手山,jugb,judb,60712,,quan1,ㄑㄩㄢ,qr,qr,qr,qr,qp,ql,,,,
㒾,日卜尸木|重日卜尸木,jytb,jytb,60212,,shi4,ㄕˋ,ui,ui,ui,ui,vi,ii,oy,,mu|ou,
㒿,日卜月土,jyry,jyby,60215,,li2,ㄌㄧˊ,li,li,li,li,li,li,ov,,ml|ol,
㓁,月金,pwu,pwu|pqb,37802,,wang3,ㄨㄤˇ,wh,wh,wh,wh,wh,ws,be,,br,
㓂,月一山女,pfqv,pfqv,37214,,kou4,ㄎㄡˋ,kz,kb,kb,kb,kb,kz,bn,,bn,
㓃,月卜口心,pyta,pyta,37614,,du4,ㄉㄨˋ,du,du,du,du,du,du,bq,,bt,
㓄,戈竹中月山,cccq,cccq,24212,,zhen4,ㄓㄣˋ,vf,vf,vf,vf,af,uw,se,,cy,
㓅,戈一一弓,ush,ush,31120,,ting1,ㄊㄧㄥ,tk,t;,ty,t;,ty,t;,,,,
㓈,戈一一口,udg,udg,31162,,bing4,ㄅㄧㄥˋ,bk,b;,by,b;,by,b;,du,,du,
㓉,戈一竹十口,utdg,utdg,32164,,huo4,ㄏㄨㄛˋ,ho,ho,ho,ho,ho,ho,du,,du,
㓊,戈一月一口,umgk,umgk,37120,,dong4,ㄉㄨㄥˋ,ds,ds,ds,ds,ds,dh,dk,,dt,
㓋,戈一廿金,uawy,uawy,34181,,gong4,ㄍㄨㄥˋ,gs,gs,gs,gs,gs,gh,dg,,dg,
㓌,戈一人一土,uwgg,uwgg,38114,,cheng1,ㄔㄥ,ig,ig,ig,ig,eg,at,,,,
㓎,戈一尸一水,uvp|uvpc,uvpc,37147,,qin1|qin4|qin3,ㄑㄧㄣ|ㄑㄧㄣˋ|ㄑㄧㄣˇ,qb,qn,qn,qn,qc,qy,dy,,dj,
㓏,戈一月金口,umw|umwk,umwk,37120,,jiong3,ㄐㄩㄥˇ,js,js,js,js,js,jh,dk,,dj,
㓐,戈一土金土,ufwf,ufwf,34114,,lu4,ㄌㄨˋ,lu,lu,lu,lu,lu,lu,dt,,dl,
㓑,戈一土廿十,ufu|ufuf,ufuf,34141,,xing4,ㄒㄧㄥˋ,xk,x;,xy,x;,xy,x;,dg,,dx,
㓓,戈一十月十,ufm|ufmf,ufmf,34127,,nan2,ㄋㄢˊ,nj,nj,nj,nj,nj,nr,dg,,dn,
㓔,戈一竹竹戈,utm|utmf,utmf,34100,,xie4,ㄒㄧㄝˋ,xp,xx,xx,xx,xx,xd,dc,,du,
㓖,戈一田廿十,ujag,ujaf,36154,,bi4,ㄅㄧˋ,bi,bi,bi,bi,bi,bi,df,,db,
㓗,戈一手竹火,udhi,udhi,37193,,jie2,ㄐㄧㄝˊ,jp,jx,jx,jx,jx,jd,dx,,dj,
㓘,竹弓一月土|竹弓一弓戈|重竹弓一弓,wgqy,mgqy,77210,,su4,ㄙㄨˋ,su,su,su,su,su,su,jy,,jy,
㓚,一中弓,ajh,ajh,12100,,gong1,ㄍㄨㄥ,gs,gs,gs,gs,gs,gh,,,,
㓜,女戈尸竹,xvt,xvn,27720,,you4,ㄧㄡˋ,yz,yb,yb,yb,yb,yz,yd,,dy,
㓝,廿廿中弓|重廿廿中弓,fjjh,fjjh,52000,,xing2,ㄒㄧㄥˊ,xk,x;,xy,x;,xy,x;,jd,,dj,
㓞,手十尸竹,dhvt,dhvn,57020,,qia4,ㄑㄧㄚˋ,qx,qw,qw,qw,qd,qx,fd,,df,
㓟,木水中弓,bjh,hcjh,42200,,pi2,ㄆㄧˊ,pi,pi,pi,pi,pi,pi,pd,,dp,
㓠,重卜口中弓|卜口中弓,hkj|hkjh,hkjh,22600,,dian4|dian3,ㄉㄧㄢˋ|ㄉㄧㄢˇ,dm,dm,dm,dm,dw,df,vd,,dv,
㓡,人山中弓|重人山中弓,tfbj,rmjh,82700,,fu3|gua1,ㄈㄨˇ|ㄍㄨㄚ,fu|gx,fu|gw,fu|gw,fu|gw,fu|gd,fu|gx,fd,,df,
㓢,竹口中弓|重重竹口中,tkj|tkjh,tkjh,22600,,luo4,ㄌㄨㄛˋ,lo,lo,lo,lo,lo,lo,wd,,dg,
㓣,人口中弓|重人口中弓,wgkj,wgkj,82600,,qia4|ge1,ㄑㄧㄚˋ|ㄍㄜ,qx|ge,qw|ge,qw|ge,qw|ge,qd|ge,qx|ge,rd,,dh,
㓤,土口中弓,fkj|fkjh,fkjh,42600,,qia4,ㄑㄧㄚˋ,qx,qw,qw,qw,qd,qx,td,,dj,
㓥,火尸中弓,ivj|ivjh,ivjh,92100,,tang1,ㄊㄤ,th,th,th,th,th,ts,,,,
㓦,一日中弓,djjh,djjh,12600,,bai1,ㄅㄞ,bd,bl,bl,bl,bl,bp,bd,,db,
㓧,人口中弓|重重人口中,wynj,wynj,82600,,gan1,ㄍㄢ,gj,gj,gj,gj,gj,gr,rd,,dh,
㓨,大人中弓,dwwj,dwwj,42800,,ci2,ㄘˊ,ci,ci,ci,ci,ci,ci,dd,,dj,
㓩,弓月中弓|重弓月中弓,qejh,qejh,22200,,xuan1|jie1,ㄒㄩㄢ|ㄐㄧㄝ,xr|jp,xr|jx,xr|jx,xr|jx,xp|jx,xl|jd,,,,
㓪,戈戈尸竹|戈女尸竹,yvv|yvvt,yvcv,37720,,lang3,ㄌㄤˇ,lh,lh,lh,lh,lh,ls,ld,,dd|ld,
㓭,日女中弓,jqwj,jqwj,62700,,she2,ㄕㄜˊ,ue,ue,ue,ue,ve,ie,od,,dh,
㓮,月口中弓,mfkj,mfkj,72200,,diao1,ㄉㄧㄠ,dn,dc,dc,dc,dz,db,,,,
㓯,女田中弓,vlj|vljh,vljh,22600,,li2,ㄌㄧˊ,li,li,li,li,li,li,vd,,dz,
㓰,一山中弓|重一山中弓,gmb|gmbj,gmbj,12700,,hua4,ㄏㄨㄚˋ,hx,hw,hw,hw,hd,hx,ad,,dh,
㓱,人弓中弓|人女中弓,wgej,wgej,82200,,tou2|shu1,ㄊㄡˊ|ㄕㄨ,tz|uu,tb|uu,tb|uu,tb|uu,tb|vu,tz|iu,rd,,dy,
㓲,竹月中弓|戈月中弓|重竹月中弓,ynmj,ynmj,32200,,pian1,ㄆㄧㄢ,pm,pm,pm,pm,pw,pf,hd,,db,
㓳,日人中弓,jghj,jghj,62800,,di1,ㄉㄧ,di,di,di,di,di,di,,,,
㓴,一大中弓,dmjj,dmjj,12800,,ruan3,ㄖㄨㄢˇ,rr,rr,rr,rr,rp,rl,ed,,dr,
㓵,口尸中弓|重重口尸中,kkfj,kkfj,62200,,e4,ㄜˋ,ee,oe,ee,oe,oe,oe,kd,,de,
㓶,手大中弓,dhvj,dhvj,52800,,qie4,ㄑㄧㄝˋ,qp,qx,qx,qx,qx,qd,fd,,dq,
㓷,竹木中弓,thsj,thsj,22900,,yi4,ㄧˋ,yi,yi,yi,yi,yi,yi,zd,,dg,
㓸,口一中弓,anfj,nngj,72100,,zhuo1|dou1,ㄓㄨㄛ|ㄉㄡ,vo|dz,vo|db,vo|db,vo|db,ao|db,uo|dz,yd,,dd,
㓹,一火中弓|重一火中弓,dooj,dooj,72200,,rui4|cui4|ji4,ㄖㄨㄟˋ|ㄘㄨㄟˋ|ㄐㄧˋ,rv|cv|ji,rv|cv|ji,rv|cv|ji,rv|cv|ji,rm|cm|ji,rn|cn|ji,id,,di,
㓺,重卜大中弓|卜大中弓,hyj|hyjh,hayj,22200,,jian1|qian2,ㄐㄧㄢ|ㄑㄧㄢˊ,jm|qm,jm|qm,jm|qm,jm|qm,jw|qw,jf|qf,hd,,dq,
㓼,木水中弓|重木水中弓,swij,swij,42900,,chi4,ㄔˋ,ii,ii,ii,ii,ei,ai,md,,dq,
㓽,山火中弓,mpfj,mpfj,22900,,chong2,ㄔㄨㄥˊ,is,is,is,is,es,ah,ud,,di,
㓾,尸手中弓,nitj,nirj,72200,,xi1|chi2,ㄒㄧ|ㄔˊ,xi|ii,xi|ii,xi|ii,xi|ii,xi|ei,xi|ai,ud,,dx,
㔀,日火中弓,jyij,jyij,62900,,lve4,ㄌㄩㄝˋ,lt,lt,lt,lt,lm,ln,od,,dj,
㔁,弓廿中弓,wgkj,wgkj,12100,,deng1,ㄉㄥ,dg,dg,dg,dg,dg,dt,,,,
㔂,火手中弓|重火手中弓,oqgj,oqaj,92200,,lin2,ㄌㄧㄣˊ,lb,ln,ln,ln,lc,ly,md,,dl,
㔃,女山尸竹,xqcv,xqcv,27227,,jue2|xue1,ㄐㄩㄝˊ|ㄒㄩㄝ,jt|xt,jt|xt,jt|xt,jt|xt,jm|xm,jn|xn,sd,,dj,
㔄,一木中弓,soj|sojh,sojh,12900,,su4,ㄙㄨˋ,su,su,su,su,su,su,xd,,ds,
㔅,中難中弓,vfjj,vfjj,52200,,xiao4,ㄒㄧㄠˋ,xn,xc,xc,xc,xz,xb,yd,,ds,
㔆,大日中弓|一日中弓|重一日中弓,aqaj,aqaj,12600,,zan4,ㄗㄢˋ,zj,zj,zj,zj,zj,zr,wd,,dc,
㔉,尸月中弓|重尸月中弓,ntkj,ntkj,72200,,zhu3,ㄓㄨˇ,vu,vu,vu,vu,au,uu,ud,,du,
㔊,重卜一中弓|卜一中弓,ylkj,ylkj,02100,,zhan3|dan3,ㄓㄢˇ|ㄉㄢˇ,vj|dj,vj|dj,vj|dj,vj|dj,aj|dj,ur|dr,wd,,dd,
㔋,尸廿中弓,ahnj,ahnj,72100,,jian1|lan2,ㄐㄧㄢ|ㄌㄢˊ,jm|lj,jm|lj,jm|lj,jm|lj,jw|lj,jf|lr,id,,dj,
㔌,尸人中弓,bcij,bctj,12200,,zou4|cou3,ㄗㄡˋ|ㄘㄡˇ,zz|cz,zb|cb,zb|cb,zb|cb,zb|cb,zz|cz,ed,,dj,
㔍,竹廿中弓|重重竹廿中,thaj,thaj,82400,,chua1|zha2,ㄔㄨㄚ|ㄓㄚˊ,ix|va,iw|va,iw|va,iw|va,ed|aa,ax|ua,vd,,ds,
